status,vencedor_nome,vencedor_estrategia,turnos_vencedor,cartas_puxadas,tempo_s,estrategias_jogadores,cartas_finais
Vencedor,Júlio,strategy_offensive,15,6,0.0005173683166503906,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 0, 'Bia': 6, 'Douglas': 6}"
Vencedor,Douglas,strategy_optimized_discard,11,2,0.0004138946533203125,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 4, 'Bia': 5, 'Douglas': 0}"
Vencedor,Bia,strategy_conservation,7,0,0.00018668174743652344,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 7, 'Bia': 0, 'Douglas': 11}"
Vencedor,Douglas,strategy_optimized_discard,21,8,0.00034546852111816406,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 10, 'Bia': 6, 'Douglas': 0}"
Vencedor,Júlio,strategy_offensive,19,8,0.000324249267578125,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 0, 'Bia': 7, 'Douglas': 2}"
Vencedor,Bia,strategy_conservation,17,10,0.00032973289489746094,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 8, 'Bia': 0, 'Douglas': 6}"
Vencedor,Bia,strategy_conservation,21,9,0.00031757354736328125,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 3, 'Bia': 0, 'Douglas': 8}"
Vencedor,Bia,strategy_conservation,9,2,0.00022149085998535156,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 6, 'Bia': 0, 'Douglas': 4}"
Vencedor,Júlio,strategy_offensive,13,3,0.00020933151245117188,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 0, 'Bia': 6, 'Douglas': 9}"
Vencedor,Bia,strategy_conservation,13,3,0.00020265579223632812,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 10, 'Bia': 0, 'Douglas': 5}"
Vencedor,Douglas,strategy_optimized_discard,39,19,0.0005311965942382812,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 11, 'Bia': 3, 'Douglas': 0}"
